ETWoriginX,ETWoriginY,ETWoriginZ,ETWdirectionX,ETWdirectionY,ETWdirectionZ,HToriginX,HToriginY,HToriginZ,HTdirectionX,HTdirectionY,HTdirectionZ,HitObject
547.54376,2.0490866,589.3865,0.94229776,0.102535166,-0.32589838,547.5512084960938,2.045722484588623,589.369140625,0.9692497849464417,-0.0377224311232566,-0.2431712001562118,
547.54376,2.0490866,589.3865,0.94229776,0.102535166,-0.32589838,547.5512084960938,2.045722484588623,589.369140625,0.9692497849464417,-0.0377224311232566,-0.2431712001562118,
547.54376,2.0490866,589.3865,0.94229776,0.102535166,-0.32589838,547.5512084960938,2.045722484588623,589.369140625,0.9692497849464417,-0.0377224311232566,-0.2431712001562118,
547.54376,2.0490866,589.3865,0.94229776,0.102535166,-0.32589838,547.5512084960938,2.045722484588623,589.369140625,0.9692497849464417,-0.0377224311232566,-0.2431712001562118,
547.54376,2.0490866,589.3865,0.94229776,0.102535166,-0.32589838,547.5512084960938,2.045722484588623,589.369140625,0.9692497849464417,-0.0377224311232566,-0.2431712001562118,
547.54376,2.0490866,589.3865,0.94229776,0.102535166,-0.32589838,547.5512084960938,2.045722484588623,589.369140625,0.9692497849464417,-0.0377224311232566,-0.2431712001562118,
547.54376,2.0490866,589.3865,0.94229776,0.102535166,-0.32589838,547.5512084960938,2.045722484588623,589.369140625,0.9692497849464417,-0.0377224311232566,-0.2431712001562118,
547.54376,2.0490866,589.3865,0.94229776,0.102535166,-0.32589838,547.5512084960938,2.045722484588623,589.369140625,0.9692497849464417,-0.0377224311232566,-0.2431712001562118,
547.54364,2.049164,589.3864,0.9420366,0.098368704,-0.32737654,547.55126953125,2.045752763748169,589.369140625,0.9692037105560304,-0.0380082055926322,-0.2433097958564758,
547.54364,2.049167,589.3864,0.94188386,0.098893695,-0.32770997,547.55126953125,2.045692682266236,589.3690795898438,0.9691466689109802,-0.0378580205142498,-0.2435606718063354,
547.54364,2.049167,589.3864,0.94188386,0.098893695,-0.32770997,547.55126953125,2.045692682266236,589.3690795898438,0.9691466689109802,-0.0378580205142498,-0.2435606718063354,
547.5436,2.0491352,589.3863,0.9419958,0.096881635,-0.32771188,547.5512084960938,2.0456690788269043,589.3690795898438,0.9691439270973206,-0.0378730632364749,-0.2435686737298965,
547.5436,2.0491211,589.3863,0.9419058,0.09688187,-0.32795832,547.55126953125,2.045668125152588,589.3690795898438,0.9691487550735474,-0.0380227975547313,-0.2435267269611358,
547.54364,2.0491047,589.3865,0.9418543,0.09630028,-0.32823727,547.55126953125,2.0456383228302,589.3690185546875,0.9691854119300842,-0.0381600521504879,-0.2433585077524185,
547.54364,2.0491097,589.38654,0.9422369,0.09224621,-0.3277861,547.5513305664062,2.045571565628052,589.3690185546875,0.9691887497901917,-0.0382135063409805,-0.2433370500802993,
547.54364,2.0491006,589.38654,0.94207764,0.09252732,-0.32819688,547.5513916015625,2.045567989349365,589.3690795898438,0.9691619277000428,-0.0385192967951297,-0.2433954328298568,
547.5437,2.0490868,589.3866,0.9420403,0.09113411,-0.328515,547.551513671875,2.0454986095428467,589.3690795898438,0.9692639112472534,-0.038940742611885,-0.242922767996788,
547.5438,2.0490541,589.38684,0.9421932,0.08941722,-0.32830763,547.5515747070312,2.0455093383789062,589.3690795898438,0.9692951440811156,-0.0391035005450248,-0.242771491408348,
547.5438,2.0490541,589.38684,0.9421932,0.08941722,-0.32830763,547.5515747070312,2.0455093383789062,589.3690795898438,0.9692951440811156,-0.0391035005450248,-0.242771491408348,
547.5438,2.0489917,589.3868,0.9409265,0.098873764,-0.33046383,547.5516357421875,2.045494794845581,589.3690185546875,0.969347596168518,-0.0392777398228645,-0.2425340414047241,
547.5438,2.0489917,589.3868,0.9409265,0.098873764,-0.33046383,547.5516357421875,2.045494794845581,589.3690185546875,0.969347596168518,-0.0392777398228645,-0.2425340414047241,
547.5446,2.0490658,589.38995,0.9396303,0.1108443,-0.3320343,547.5517578125,2.045524835586548,589.3690185546875,0.9693840146064758,-0.0395908206701278,-0.2423374354839325,
547.5446,2.0490658,589.38995,0.9396303,0.1108443,-0.3320343,547.5517578125,2.045524835586548,589.3690185546875,0.9693840146064758,-0.0395908206701278,-0.2423374354839325,
547.53656,2.0492387,589.3559,0.9424468,0.085448906,-0.32818988,547.5519409179688,2.045475482940674,589.3690185546875,0.9692610502243042,-0.0401276126503944,-0.2427407056093216,
547.53656,2.0492387,589.3559,0.9424468,0.085448906,-0.32818988,547.5519409179688,2.045475482940674,589.3690185546875,0.9692610502243042,-0.0401276126503944,-0.2427407056093216,
547.5365,2.0491438,589.3559,0.94795746,0.015428602,-0.31817907,547.5520629882812,2.0455143451690674,589.3689575195312,0.9691504836082458,-0.0407925955951213,-0.2430714666843414,
547.5365,2.0491438,589.3559,0.94795746,0.015428602,-0.31817907,547.5520629882812,2.0455143451690674,589.3689575195312,0.9691504836082458,-0.0407925955951213,-0.2430714666843414,
547.53674,2.048856,589.35596,0.9447692,-0.024305264,-0.32722297,547.552001953125,2.0454180240631104,589.3689575195312,0.969014286994934,-0.0412008389830589,-0.2435448169708252,
547.54535,2.0489807,589.39294,0.94427943,-0.01348408,-0.3289464,547.552001953125,2.045368194580078,589.3689575195312,0.9689339995384216,-0.0417479649186134,-0.2437709867954254,
547.54535,2.0489807,589.39294,0.94427943,-0.01348408,-0.3289464,547.552001953125,2.045368194580078,589.3689575195312,0.9689339995384216,-0.0417479649186134,-0.2437709867954254,
